case_id,c,sx,sy,r1,a2,b1,b2,A,Ts,mu,ood_group,ood_parameter,ood_side,normalized_ood_distance,safety_margin_mm
Case_1001,1.83,117.75,259.38,49.93,76.49,86.6,146.27,41.116,0.394,2820.66,geometry_ood,r1,lower,0.0035,30.878
Case_1002,2.39,64.55,318.54,48.59,77.15,112.12,151.48,12.253,0.178,2746.33,geometry_ood,r1,lower,0.0705,142.554
Case_1003,2.48,104.79,166.72,54.62,71.63,79.69,82.92,27.728,0.202,1018.57,geometry_ood,b1,lower,0.00775,28.344
Case_1004,1.99,92.36,281.99,55.42,41.79,97.31,165.09,34.85,0.329,2762.85,geometry_ood,b2,upper,0.063625,47.2
Case_1005,2.26,46.15,301.8,65.55,37.94,89.18,80.98,16.24,0.173,1364.09,geometry_ood,a2,lower,0.0515,188.34
Case_1006,3.04,110.37,295.88,63.87,63.2,98.52,82.98,84.965,0.191,2091.32,geometry_ood,c,upper,0.02,42.97
Case_1007,1.0,116.03,189.12,48.24,40.3,92.33,94.51,19.769,0.426,1653.52,geometry_ood,r1,lower,0.088,55.072
Case_1008,2.72,116.29,324.52,59.34,41.93,82.62,156.37,70.241,0.34,1768.96,geometry_ood,sy,upper,0.0226,27.668
Case_1009,2.04,112.2,312.12,71.63,56.11,92.42,110.16,48.89,0.256,2340.51,geometry_ood,r1,upper,0.0815,104.18
Case_1010,2.24,60.25,228.26,57.51,66.62,123.6,145.1,30.736,0.413,1696.26,geometry_ood,b1,upper,0.09,21.688
Case_1011,2.98,85.1,251.7,54.01,72.81,122.87,97.53,67.314,0.165,1597.42,geometry_ood,b1,upper,0.07175,19.542
Case_1012,3.07,73.0,276.48,65.83,66.4,90.89,91.84,42.338,0.277,1026.75,geometry_ood,c,upper,0.035,99.964
Case_1013,2.44,91.33,274.43,60.21,47.38,100.5,167.84,34.102,0.415,1340.89,geometry_ood,b2,upper,0.098,38.386
Case_1014,2.3,104.48,302.1,59.24,81.78,110.66,112.06,69.246,0.396,1940.35,geometry_ood,a2,upper,0.0445,51.548
Case_1015,2.86,114.6,305.52,56.36,45.37,79.48,107.79,47.347,0.415,1384.55,geometry_ood,b1,lower,0.013,103.036
Case_1016,1.49,39.88,202.88,55.75,47.19,102.74,111.44,37.02,0.158,1038.24,geometry_ood,sx,lower,0.0015,17.4
Case_1017,2.85,97.28,292.85,70.04,55.67,84.51,158.68,60.522,0.445,2563.56,geometry_ood,r1,upper,0.002,13.126
Case_1018,2.48,53.22,113.48,60.63,56.39,87.76,81.71,10.166,0.101,2083.94,geometry_ood,sy,lower,0.0326,11.438
Case_1019,1.84,76.76,174.27,51.01,46.65,78.26,102.34,26.295,0.278,2955.67,geometry_ood,b1,lower,0.0435,19.34
Case_1020,2.78,121.68,308.05,55.49,71.56,91.26,121.19,72.853,0.378,1289.1,geometry_ood,sx,upper,0.021,41.154
Case_1021,2.2,124.4,251.14,52.8,69.71,94.79,150.3,12.324,0.126,1884.66,geometry_ood,sx,upper,0.055,76.192
Case_1022,1.95,66.19,242.3,64.64,57.99,99.99,78.73,51.304,0.197,1159.94,geometry_ood,b2,lower,0.015875,60.962
Case_1023,2.37,81.67,316.46,52.55,58.05,77.39,122.97,35.512,0.2,2811.13,geometry_ood,b1,lower,0.06525,122.466
Case_1024,3.17,89.74,206.76,51.93,47.86,88.78,112.25,39.043,0.38,1905.79,geometry_ood,c,upper,0.085,16.424
Case_1025,2.01,50.86,291.04,48.18,67.22,114.71,131.23,14.076,0.343,1940.9,geometry_ood,r1,lower,0.091,131.658
Case_1026,1.59,46.05,230.67,56.64,77.04,121.44,100.6,56.595,0.185,2124.35,geometry_ood,b1,upper,0.036,16.88
Case_1027,1.8,54.48,119.03,60.45,42.83,85.94,81.81,12.575,0.343,2973.46,geometry_ood,sy,lower,0.00485,12.07
Case_1028,2.81,99.64,116.93,56.61,79.57,92.31,83.08,10.878,0.361,1447.03,geometry_ood,sy,lower,0.01535,12.094
Case_1029,0.96,93.63,159.23,65.81,42.06,118.95,89.8,17.913,0.28,2913.27,geometry_ood,c,lower,0.02,33.604
Case_1030,2.71,91.21,299.69,60.81,72.96,120.34,121.87,25.827,0.274,2434.15,geometry_ood,b1,upper,0.0085,126.166
Case_1031,2.56,52.34,323.77,57.24,68.8,108.78,101.63,13.0,0.345,2120.3,geometry_ood,sy,upper,0.01885,196.14
Case_1032,3.04,89.86,249.28,66.45,78.11,94.71,112.15,11.533,0.468,2988.82,geometry_ood,c,upper,0.02,114.064
Case_1033,1.75,50.7,244.86,65.96,82.13,87.32,150.59,31.067,0.497,2408.89,geometry_ood,a2,upper,0.05325,32.136
Case_1034,1.41,65.95,221.86,59.31,49.51,97.92,164.64,22.208,0.284,1353.68,geometry_ood,b2,upper,0.058,12.804
Case_1035,0.8,62.75,230.05,53.67,58.74,86.94,115.8,34.665,0.233,2284.14,geometry_ood,c,lower,0.1,44.92
Case_1036,1.4,102.46,311.31,66.96,71.11,111.31,162.83,12.513,0.444,2355.04,geometry_ood,b2,upper,0.035375,123.454
Case_1037,2.24,33.73,309.42,65.86,69.8,116.07,96.43,55.948,0.337,1303.85,geometry_ood,sx,lower,0.078375,101.094
Case_1038,1.39,124.0,299.6,67.54,66.82,101.32,154.94,62.869,0.117,2014.82,geometry_ood,sx,upper,0.05,18.922
Case_1039,2.1,117.43,260.04,59.23,71.41,95.74,77.83,73.999,0.205,1210.76,geometry_ood,b2,lower,0.027125,34.212
Case_1040,2.26,74.81,320.18,60.84,61.17,88.83,126.93,66.728,0.115,1795.7,geometry_ood,sy,upper,0.0009,59.794
Case_1041,1.05,50.79,158.65,56.42,81.21,87.02,95.99,23.433,0.111,1552.87,geometry_ood,a2,upper,0.03025,15.794
Case_1042,1.55,81.01,282.4,52.8,40.12,98.4,74.3,69.682,0.125,2495.92,geometry_ood,b2,lower,0.07125,68.736
Case_1043,0.9,44.4,238.8,53.79,59.9,101.64,150.37,32.634,0.454,2042.96,geometry_ood,c,lower,0.05,23.162
Case_1044,1.91,46.83,334.71,56.6,42.49,105.92,155.16,63.275,0.103,2501.2,geometry_ood,sy,upper,0.07355,53.0
Case_1045,0.85,88.31,289.16,68.58,79.67,113.4,109.21,27.13,0.243,2290.94,geometry_ood,c,lower,0.075,125.69
Case_1046,2.43,114.67,280.05,53.85,36.12,90.24,107.98,78.935,0.387,1777.37,geometry_ood,a2,lower,0.097,14.2
Case_1047,1.85,49.88,273.44,70.57,62.94,91.48,127.96,41.28,0.397,1763.79,geometry_ood,r1,upper,0.0285,62.92
Case_1048,2.13,34.8,248.3,53.87,66.62,95.49,137.72,29.318,0.268,1590.65,geometry_ood,sx,lower,0.065,51.944
Case_1049,1.72,43.19,119.47,60.44,62.08,88.16,82.1,12.747,0.124,2091.39,geometry_ood,sy,lower,0.00265,11.876
