case_id,status,split,train_order,hdf5_file,nodes,time_steps,size_bytes
Case_0001,valid_hdf5,train,591,Case_0001.h5,725,151,676040
Case_0002,valid_hdf5,test,,Case_0002.h5,725,151,701296
Case_0003,valid_hdf5,train,473,Case_0003.h5,725,151,656127
Case_0004,valid_hdf5,train,610,Case_0004.h5,725,151,693119
Case_0005,valid_hdf5,train,54,Case_0005.h5,725,151,648347
Case_0006,valid_hdf5,train,39,Case_0006.h5,725,151,675102
Case_0007,valid_hdf5,train,762,Case_0007.h5,725,151,644611
Case_0008,valid_hdf5,train,541,Case_0008.h5,725,151,699655
Case_0009,valid_hdf5,train,400,Case_0009.h5,725,151,653995
Case_0010,valid_hdf5,train,420,Case_0010.h5,725,151,644720
Case_0011,valid_hdf5,train,112,Case_0011.h5,725,151,681482
Case_0012,valid_hdf5,train,625,Case_0012.h5,725,151,704432
Case_0013,valid_hdf5,train,342,Case_0013.h5,725,151,629048
Case_0014,valid_hdf5,train,51,Case_0014.h5,725,151,668422
Case_0015,valid_hdf5,train,288,Case_0015.h5,725,151,656675
Case_0016,valid_hdf5,train,485,Case_0016.h5,725,151,684973
Case_0017,valid_hdf5,valid,,Case_0017.h5,725,151,700904
Case_0018,valid_hdf5,train,47,Case_0018.h5,725,151,632175
Case_0019,valid_hdf5,valid,,Case_0019.h5,725,151,672349
Case_0020,valid_hdf5,train,587,Case_0020.h5,725,151,707631
Case_0021,valid_hdf5,train,56,Case_0021.h5,725,151,673520
Case_0022,valid_hdf5,train,547,Case_0022.h5,725,151,700319
Case_0023,valid_hdf5,train,266,Case_0023.h5,725,151,652978
Case_0024,valid_hdf5,train,187,Case_0024.h5,725,151,651504
Case_0025,valid_hdf5,test,,Case_0025.h5,725,151,689780
Case_0026,valid_hdf5,train,798,Case_0026.h5,725,151,703441
Case_0027,valid_hdf5,train,6,Case_0027.h5,725,151,690267
Case_0028,valid_hdf5,train,776,Case_0028.h5,725,151,686562
Case_0029,valid_hdf5,test,,Case_0029.h5,725,151,644850
Case_0030,valid_hdf5,train,32,Case_0030.h5,725,151,686004
Case_0031,valid_hdf5,train,782,Case_0031.h5,725,151,685771
Case_0032,valid_hdf5,train,116,Case_0032.h5,725,151,695266
Case_0033,valid_hdf5,train,783,Case_0033.h5,725,151,647469
Case_0034,valid_hdf5,test,,Case_0034.h5,725,151,701422
Case_0035,valid_hdf5,train,76,Case_0035.h5,725,151,725378
Case_0036,valid_hdf5,train,299,Case_0036.h5,725,151,656554
Case_0037,valid_hdf5,train,367,Case_0037.h5,725,151,688253
Case_0038,valid_hdf5,train,183,Case_0038.h5,725,151,674248
Case_0039,valid_hdf5,valid,,Case_0039.h5,725,151,692979
Case_0040,valid_hdf5,train,137,Case_0040.h5,725,151,686612
Case_0041,valid_hdf5,train,437,Case_0041.h5,725,151,686677
Case_0042,valid_hdf5,train,130,Case_0042.h5,725,151,695989
Case_0043,valid_hdf5,train,362,Case_0043.h5,725,151,686620
Case_0044,valid_hdf5,train,202,Case_0044.h5,725,151,687637
Case_0045,valid_hdf5,train,740,Case_0045.h5,725,151,684268
Case_0046,valid_hdf5,train,379,Case_0046.h5,725,151,680746
